法律依据,出现次数
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第9条第1款,315
《中华人民共和国刑事诉讼法》第365条第361款,310
《中华人民共和国刑事诉讼法(2012年)》第258条,308
《中华人民共和国刑法(1997年)》第358条第353款,306
《中华人民共和国刑法(1997年)》第358条第351款,306
《中华人民共和国刑法(1997年)》第48条第41款,304
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释(二)》第1条,303
《最高人民法院、最高人民检察院关于办理抢夺刑事案件适用法律若干问题的解释》第2条,303
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第6条第1款,301
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第17条第11款,299
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第11条,297
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第20条,296
《最高人民法院关于审理盗窃案件具体应用法律若干问题的解释》第3条第1款,293
《中华人民共和国刑法》第80条,293
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第17条,291
《最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释》第5条第1款,285
《最高人民法院、最高人民检察院关于办理赌博刑事案件具体应用法律若干问题的解释》第2条,283
《中华人民共和国刑法》第50条第51款,283
《中华人民共和国刑法》第290条第291款,281
《中华人民共和国刑事诉讼法(2012年)》第221条第221款,275
《中华人民共和国刑法(1997年)》第7条第1款,273
《中华人民共和国刑法》第198条第191款,273
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第2条第1款,272
《中华人民共和国刑法(1997年)》第258条,271
《中华人民共和国刑法》第307条第301款,271
《中华人民共和国刑事诉讼法(2012年)》第226条第221款,269
《中华人民共和国刑法(1997年)》第1条,268
《最高人民法院、最高人民检察院关于办理赌博刑事案件具体应用法律若干问题的解释》第6条,267
《中华人民共和国刑法》第215条,265
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第1条,263
《中华人民共和国刑法(1997年)》第210条第211款,262
《中华人民共和国刑法(1997年)》第20条第21款,260
《中华人民共和国刑法》第388条,260
《最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释》第4条第1款,260
《中华人民共和国刑法》第228条,259
《中华人民共和国刑法(1997年)》第205条第201款,256
《中华人民共和国刑事诉讼法(2012年)》第223条第221款,255
《中华人民共和国刑事诉讼法(2012年)》第53条第51款,252
《最高人民法院关于审理挪用公款案件具体应用法律若干问题的解释》第3条第1款,251
《中华人民共和国刑法(1997年)》第364条第361款,249
《中华人民共和国刑法》第15条第11款,246
《最高人民法院、最高人民检察院、司法部关于适用普通程序审理“被告人认罪案件”的若干意见(试行)》第1条第1款,240
《中华人民共和国刑法(1997年)》第164条第161款,239
《中华人民共和国刑法》第193条,238
《最高人民法院、最高人民检察院关于办理诈骗刑事案件具体应用法律若干问题的解释》第6条,235
《中华人民共和国刑法》第46条,235
《最高人民法院关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》第1条,234
《中华人民共和国刑法》第171条第171款,231
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第3条第1款,230
《中华人民共和国刑法》第39条第31款,229
《中华人民共和国刑法》第82条,228
《中华人民共和国刑法》第393条,225
《中华人民共和国刑法》第399条第391款,220
《最高人民法院、最高人民检察院、公安部关于办理网络赌博犯罪案件适用法律若干问题的意见》第1条第1款,217
《中华人民共和国刑法(1997年)》第253条第251款,215
《最高人民法院、最高人民检察院、司法部关于适用简易程序审理公诉案件的若干意见》第1条,213
《中华人民共和国道路交通安全法(2011年)》第19条第11款,213
《中华人民共和国刑法(1997年)》第2条,212
《最高人民法院关于审理破坏土地资源刑事案件具体应用法律若干问题的解释》第3条,211
《中华人民共和国刑法》第194条第191款,211
《中华人民共和国刑事诉讼法》第139条,209
